number,value,params_alpha,params_beta,params_gamma,state,user_attrs_avg_completed_makespan,user_attrs_avg_computation_time,user_attrs_failed_tasks_json,user_attrs_num_completed,user_attrs_num_failed,datetime_start,datetime_complete,duration
0,11020.0,2.8759884118207544,0.6839411154561348,0.5993159404645475,COMPLETE,70.25,38.12428563521244,"[{""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple12_6subtasks(dc2, dnc2)"", ""status"": ""Failed (No Progress)""}, {""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.419910,2025-04-30 13:37:39.613407,0 days 00:15:31.193497
1,10280.0,3.7988946566423745,4.082909045130633,1.93685351761533,COMPLETE,83.32000000000001,52.15942543908022,"[{""name"": ""simple6_5subtasks(dnc3, nd(3, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.426111,2025-04-30 13:41:30.471176,0 days 00:19:22.045065
2,10280.0,0.4131632349439065,1.6059089227889114,4.992611195230902,COMPLETE,55.866666666666674,11.269704725733027,"[{""name"": ""simple12_6subtasks(dc2, dnc2)"", ""status"": ""Failed (No Progress)""}, {""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.470951,2025-04-30 13:31:54.802203,0 days 00:09:46.331252
3,11020.0,0.4435019100722296,3.2012936352425574,4.275565701538246,COMPLETE,77.95,51.697099588019775,"[{""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.492754,2025-04-30 13:44:09.481424,0 days 00:22:00.988670
4,11020.0,1.5863003615079958,4.57348694655741,3.1748719514960375,COMPLETE,77.65,36.0426555398386,"[{""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex1_11subtasks(dc2, dnc2, nd(1, 3, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.515348,2025-04-30 13:38:10.846372,0 days 00:16:02.331024
5,11020.0,2.721143786531214,3.1444451784217686,2.543372276137132,COMPLETE,70.3,37.80852828044444,"[{""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple4_5subtasks(dc1, dnc2, nd8)"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.537279,2025-04-30 13:40:36.188600,0 days 00:18:27.651321
6,11760.0,4.606306790668511,1.9583929449391224,4.880058090909241,COMPLETE,52.6,59.93559259204194,"[{""name"": ""simple4_5subtasks(dc1, dnc2, nd8)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex10_20subtasks(nd7->dc1, dnc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple18_8subtasks(dc2, dnc2, nd1)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple15_6subtasks(nd1->dnc3, nd(2, 5))"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.559344,2025-04-30 13:41:13.054025,0 days 00:19:04.494681
7,10280.0,4.485297032878073,2.746821938838213,2.4788089833708113,COMPLETE,71.13333333333333,37.25907364818268,"[{""name"": ""simple18_8subtasks(dc2, dnc2, nd1)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple12_6subtasks(dc2, dnc2)"", ""status"": ""Failed (No Progress)""}]",0,5,2025-04-30 13:22:08.591172,2025-04-30 13:36:24.625676,0 days 00:14:16.034504
8,10280.0,1.0466425267363118,2.6805297306681988,4.404159475473832,COMPLETE,72.23333333333333,25.079698757408188,"[{""name"": ""simple20_9subtasks(dc2, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple9_6subtasks(dc1, dnc2, nd3)"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:08.781741,2025-04-30 13:37:19.328776,0 days 00:15:10.547035
9,10280.0,0.9574273971494414,0.4293047041520849,3.1828725411354037,COMPLETE,55.56666666666666,34.85189724857919,"[{""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]",0,5,2025-04-30 13:22:09.063126,2025-04-30 13:38:37.715092,0 days 00:16:28.651966
